"""  title""  ";" "" beschrijving"" "
"""  Gent: Sint-Pietersnieuwstraat, bouwaanvraag van Philippe Jacobus de Nobele, 1780""  ";" "" Bouwheer: de Nobele, Philippe Jacobus."" "
"""  Gent: Sint-Pietersnieuwstraat, bouwaanvraag van Bernard Comprez, 1783""  ";" "" Bouwheer: Comprez, Bernard."" "
"""  Gent: Sint-Pietersnieuwstraat, bouwaanvraag van Remaculus Josephus Grimieaux dit Beautier, 1770""  ";" "" Bouwheer: Grimieaux dit Beautier, Remaculus Josephus."" "
"""  Gent: Sint-Pietersnieuwstraat, bouwaanvraag van Anne Joseph Henrij, 1777""  ";" "" Bouwheer: Henrij, Anne Joseph."" "
"""  Gent: Sint-Pietersnieuwstraat, bouwaanvraag van Joannes Francies Lammens, 1766""  ";" "" Bouwheer: Lammens, Joannes Francies."" "
"""  Gent: Sint-Pietersnieuwstraat, bouwaanvraag van Pieter Hoijs, 1767""  ";" "" Bouwheer: Hoijs, Pieter."" "
"""  Gent: Sint-Pietersnieuwstraat, bouwaanvraag van David (sr.) 't Kindt, 1724""  ";" "" Bouwheer: 't Kindt, David (sr.)."" "
"""  Gent: Sint-Pietersnieuwstraat, bouwaanvraag van Rogier (sr.) Bogaert, 1728""  ";" "" Bouwheer: Bogaert, Rogier (sr.)."" "
"""  Gent: Sint-Pietersnieuwstraat, bouwaanvraag van Alphonsus vander Brugghen, 1734""  ";" "" Bouwheer: vander Brugghen, Alphonsus."" "
"""  Gent: Sint-Pietersnieuwstraat, bouwaanvraag van Catharina van Branteghem, 1715""  ";" "" Bouwheer: van Branteghem, Catharina."" "
"""  Gent: Sint-Pietersnieuwstraat, bouwaanvraag van A. de Raeck, 1720""  ";" "" Bouwheer: de Raeck, A."" "
"""  Gent: Sint-Niklaasstraat, bouwaanvraag van Geeraert van Loo, 1793""  ";" "" Bouwheer: van Loo, Geeraert."" "
"""  Gent: Sint-Pietersnieuwstraat, bouwaanvraag van Jan Elewaut, 1711""  ";" "" Bouwheer: Elewaut, Jan."" "
"""  Gent: Sint-Niklaasstraat, bouwaanvraag van Jacobus Delheye, 1781""  ";" "" Bouwheer: Delheye, Jacobus."" "
"""  Gent: Sint-Niklaasstraat, bouwaanvraag van Thomaes Hillaert, 1786""  ";" "" Bouwheer: Hillaert, Thomaes."" "
"""  Gent: Sint-Niklaasstraat, bouwaanvraag van Pieter vander Brugghen, 1720""  ";" "" Bouwheer: vander Brugghen, Pieter."" "
"""  Gent: Sint-Niklaasstraat, bouwaanvraag van Joannes Moeraert, 1777""  ";" "" Bouwheer: Moeraert, Joannes."" "
"""  Gent: Sint-Niklaasstraat, bouwaanvraag van weduwe Scherlynck, 1778""  ";" "" Bouwheer: Scherlynck, weduwe."" "
"""  Gent: Sint-Michielsstraat, bouwaanvraag van Anthoine van de Woestijne, 1778""  ";" "" Bouwheer: van de Woestijne, Anthoine."" "
"""  Gent: Sint-Michielsstraat, bouwaanvraag van Pieter Housiaux, 1778""  ";" "" Bouwheer: Housiaux, Pieter."" "
"""  Gent: Sint-Michielsstraat, bouwaanvraag van Joannes Eghels, 1756""  ";" "" Bouwheer: Eghels, Joannes."" "
"""  Gent: Sint-Michielsstraat, bouwaanvraag van Norbert Ignace van Hulthem, 1757""  ";" "" Bouwheer: van Hulthem, Norbert Ignace."" "
"""  Gent: Sint-Michielsstraat, bouwaanvraag van Jan Baptiste Colombien, 1757""  ";" "" Bouwheer: Colombien, Jan Baptiste."" "
"""  Gent: Sint-Michielsstraat, bouwaanvraag van Jan Baptiste Coolman, 1720""  ";" "" Bouwheer: Coolman, Jan Baptiste."" "
"""  Gent: Sint-Michielsstraat, bouwaanvraag van Daniel Frans Coolman en Judocus Coolman, 1727""  ";" "" Bouwheer: Coolman, Daniel Frans Coolman, Judocus."""
"""  Gent: Sint-Michielsplein, bouwaanvraag van Jan Baptiste Kervyn, 1791""  ";" "" Bouwheer: Kervyn, Jan Baptiste."" "
"""  Gent: Sint-Michielsstraat, bouwaanvraag van vande Kerchove, 1715""  ";" "" Bouwheer: vande Kerchove."" "
"""  Gent: Sint-Michielsstraat, bouwaanvraag van Carel Cnudde, 1716""  ";" "" Bouwheer: Cnudde, Carel."" "
