"""  title""  ";" "" beschrijving"" "
"""  Gent: Ramen, bouwaanvraag van Chrinstine de Buysschere, 1756""  ";" "" Bouwheer: de Buysschere, Christine."" "
"""  Gent: Ramen, bouwaanvraag van Jan Cent, 1719""  ";" "" Bouwheer: Cent, Jan."" "
"""  Gent: Ramen, bouwaanvraag van Ferdinande Buens, 1723""  ";" "" Bouwheer: Buens, Ferdinande."" "
"""  Gent: Ramen, bouwaanvraag van Ferdinande Buens, 1727""  ";" "" Bouwheer: Buens, Ferdinande."" "
"""  Gent: Ramen, bouwaanvraag van Pieter Maximiliaen vander Meersche, 1715""  ";" "" Bouwheer: vander Meersche, Pieter Maximiliaen."" "
"""  Gent: Ramen, bouwaanvraag van Joannes de Nayere, 1717""  ";" "" Bouwheer: de Nayere, Joannes."" "
"""  Gent: Rakenburg, bouwaanvraag van Bernardus de Wilde, 1727""  ";" "" Bouwheer: de Wilde, Bernardus."" "
"""  Gent: Rakenburg, bouwaanvraag van Pieter Gonsales, 1780""  ";" "" Bouwheer: Gonsales, Pieter."" "
"""  Gent: Ramen, bouwaanvraag van Jan Poelman en Pieter de Puyst, 1704""  ";" "" Bouwheer: Poelman, Jan de Puyst, Pieter."""
"""  Gent: Raapstraat, bouwaanvraag van Pieter Joannes Michiels, 1793""  ";" "" Bouwheer: Michiels, Pieter Joannes."" "
"""  Gent: Raapstraat, bouwaanvraag van G. Verhaege, 1794""  ";" "" Bouwheer: Verhaege, G."" "
"""  Gent: Raapstraat, bouwaanvraag van Jan Bruyneel, 1759""  ";" "" Bouwheer: Bruyneel, Jan."" "
"""  Gent: Raapstraat, bouwaanvraag van Pieter de Somer, 1767""  ";" "" Bouwheer: de Somer, Pieter."" "
"""  Gent: Prinsenhof, bouwaanvraag van Joannes Lems, 1791""  ";" "" Bouwheer: Lems, Joannes."" "
"""  Gent: Pussemierstraat, bouwaanvraag van Jan vander Meulen, 1711""  ";" "" Bouwheer: vander Meulen, Jan."" "
"""  Gent: Raapstraat, bouwaanvraag van Jan Dielman, 1717""  ";" "" Bouwheer: Dielman, Jan."" "
"""  Gent: Prinsenhof, bouwaanvraag van Philippe Jacobus Haentjens, 1791""  ";" "" Bouwheer: Haentjens, Philippe Jacobus."" "
"""  Gent: Prinsenhof, bouwaanvraag van Joachim Frans Colin, 1791""  ";" "" Bouwheer: Colin, Joachim Frans."" "
"""  Gent: Prinsenhof, bouwaanvraag van J.B. Mauriau, 1787""  ";" "" Bouwheer: Mauriau, J.B."" "
"""  Gent: Prinsenhof, bouwaanvraag van Pieter de Waele, 1790""  ";" "" Bouwheer: de Waele, Pieter."" "
"""  Gent: Prinsenhof, bouwaanvraag van het klooster van de Ongeschoeide Karmelieten, 1783""  ";" "" Bouwheer: Klooster van de Ongeschoeide Karmelieten."" "
"""  Gent: Prinsenhof, bouwaanvraag van baron Joannes Franciscus Zinzerling, 1784""  ";" "" Bouwheer: Zinzerling, Joannes Franciscus, baron."" "
"""  Gent: Prinsenhof, bouwaanvraag van Moreau, 1782""  ";" "" Bouwheer: Moreau."" "
"""  Gent: Prinsenhof, bouwaanvraag van Judocus Fermont, 1782""  ";" "" Bouwheer: Fermont, Judocus."" "
"""  Gent: Prinsenhof, bouwaanvraag van Guillaume Claije, 1744""  ";" "" Bouwheer: Claije, Guillaume."" "
"""  Gent: Pluimstraat - Prinsenhof, bouwaanvraag van weduwe Engel de Roose, 1756""  ";" "" Bouwheer: de Roose, Engel weduwe."" "
"""  Gent: Predikherenlei, bouwaanvraag van Jacques van Loo, 1790""  ";" "" Bouwheer: van Loo, Jacques."" "
"""  Gent: Prinsenhof, bouwaanvraag van Pieter Viervoet, 1715""  ";" "" Bouwheer: Viervoet, Pieter."" "
"""  Gent: Predikherenlei, bouwaanvraag van graaf Philippe Maurice Dheems, 1784""  ";" "" Bouwheer: Dheems, Philippe Maurice, graaf. Beschrijving van de werken: Aanvrager woont in Zeveren."" "
"""  Gent: Predikherenlei, bouwaanvraag van Ignace Balthazar Malfeson, 1786""  ";" "" Bouwheer: Malfeson, Ignace Balthazar."" "
"""  Gent: Predikherenlei, bouwaanvraag van Frans Michiels, 1794""  ";" "" Bouwheer: Michiels, Frans."" "
"""  Gent: Predikherenlei, bouwaanvraag van Jacques van Loo, 1780""  ";" "" Bouwheer: van Loo, Jacques."" "
"""  Gent: Predikherenlei, bouwaanvraag van L.F.J. Trulin, 1784""  ";" "" Bouwheer: Trulin, L.F.J."" "
"""  Gent: Predikherenlei, bouwaanvraag van Joanne J. Spillebaut, 1773""  ";" "" Bouwheer: Spillebaut, Joanne J."" "
"""  Gent: Predikherenlei, bouwaanvraag van Jacobus van Vlaenderen, 1779""  ";" "" Bouwheer: van Vlaenderen, Jacobus."" "
"""  Gent: Predikherenlei, bouwaanvraag van Marianne Papejans, Clare Franchoise Gregoria Papejans en Justine Philippine Papejans, 1727""  ";" "" Bouwheer: Papejans, Marianne,  Papejans, Clare Franchoise Gregoria"""
"""  Gent: Predikherenlei, bouwaanvraag van baron Olivier de Reylof, 1731""  ";" "" Bouwheer: de Reylof, Olivier, baron."" "
"""  Gent: Predikherenlei, bouwaanvraag van Ignace Balthazar Malfeson, 1771""  ";" "" Bouwheer: Malfeson, Ignace Balthazar."" "
"""  Gent: Predikherenlei, bouwaanvraag van Jacques Baut, 1704""  ";" "" Bouwheer: Baut, Jacques."" "
"""  Gent: Predikherenlei, bouwaanvraag van Franchies Spillebaut, 1716""  ";" "" Bouwheer: Spillebaut, Franchies."" "
"""  Gent: Posteernestraat, bouwaanvraag van Catharina van Toers, 1790""  ";" "" Bouwheer: van Toers, Catharina."" "
"""  Gent: Predikherenbrug, bouwaanvraag van het Dominicanenklooster, 1734""  ";" "" Bouwheer: Dominicanenklooster. Beschrijving van de werken: ontwerptekening standbeeld."" "
"""  Gent: Posteernestraat, bouwaanvraag van graaf Philippe Maurice Dheems, 1788""  ";" "" Bouwheer: Dheems, Philippe Maurice, graaf."" "
"""  Gent: Posteernestraat, bouwaanvraag van Eduardus van Alstein, 1788""  ";" "" Bouwheer: van Alstein, Eduardus."" "
"""  Gent: Posteernestraat, bouwaanvraag van Pieter Casier, 1781""  ";" "" Bouwheer: Casier, Pieter."" "
"""  Gent: Posteernestraat, bouwaanvraag van Tavernier, 1782""  ";" "" Bouwheer: Tavernier."" "
"""  Gent: Posteernestraat, bouwaanvraag van Louis Bauduyn Verschraeghen, 1772""  ";" "" Bouwheer: Verschraeghen, Louis Bauduyn."" "
"""  Gent: Posteernestraat, bouwaanvraag van Francies Judocus Ronse, 1776""  ";" "" Bouwheer: Ronse, Francies Judocus."" "
"""  Gent: Posteernestraat, bouwaanvraag van Charles Albert Joan Ondereet, 1781""  ";" "" Bouwheer: Ondereet, Charles Albert Joan. Beschrijving van de werken: Aanvrager is voogd van Magdalena Werrebrouck."" "
"""  Gent: Posteernestraat, bouwaanvraag van weduwe markies de Luna, 1737""  ";" "" Bouwheer: de Luna, weduwe, markies."" "
"""  Gent: Posteernestraat, bouwaanvraag van Louis Bauduyn Verschraeghen, 1762""  ";" "" Bouwheer: Verschraeghen, Louis Bauduyn."" "
"""  Gent: Posteernestraat, bouwaanvraag van Jan Baptiste Aloyse vanden Meersche, 1719""  ";" "" Bouwheer: vanden Meersche, Jan Baptiste Aloyse."" "
"""  Gent: Posteernestraat, bouwaanvraag van Daniel Bekaert, 1723""  ";" "" Bouwheer: Bekaert, Daniel."" "
"""  Gent: Posteernestraat, bouwaanvraag van weduwe Charles de Waegheneere, 1712""  ";" "" Bouwheer: de Waegheneere, Charles weduwe."" "
"""  Gent: Posteernestraat, bouwaanvraag van de Oosteeklo abdij, 1713""  ";" "" Bouwheer: Oosteeklo abdij."" "
"""  Gent: Posteernestraat, bouwaanvraag van weduwe Gillion, 1714""  ";" "" Bouwheer: Gillion, weduwe."" "
"""  Gent: Posteernestraat, bouwaanvraag van Anthone Allegambe, 1698""  ";" "" Bouwheer: Allegambe, Anthone."" "
"""  Gent: Posteernestraat, bouwaanvraag van Anthone Ferdinand vander Meersche, 1700""  ";" "" Bouwheer: vander Meersche, Anthone Ferdinand."" "
"""  Gent: Poeljemarkt, bouwaanvraag van graaf Charles Francois de Lichtervelde, 1750""  ";" "" Bouwheer: de Lichtervelde, Charles Francois, graaf."" "
"""  Gent: Poeljemarkt, bouwaanvraag van van Bosterhaut, 1774""  ";" "" Bouwheer: van Bosterhaut."" "
"""  Gent: Poeljemarkt, bouwaanvraag van Catharina Theresia Lavendy, 1782""  ";" "" Bouwheer: Lavendy, Catharina Theresia."" "
"""  Gent: Poeljemarkt, bouwaanvraag van Jan Baptiste vanden Broucke, 1702""  ";" "" Bouwheer: vanden Broucke, Jan Baptiste."" "
"""  Gent: Poeljemarkt, bouwaanvraag van Frans de Keuckelaere, 1748""  ";" "" Bouwheer: de Keuckelaere, Frans."" "
"""  Gent: Poel, bouwaanvraag van Joan Frans Grenier, 1788""  ";" "" Bouwheer: Grenier, Joan Frans."" "
"""  Gent: Poel, bouwaanvraag van P.J. Moreau, 1790""  ";" "" Bouwheer: Moreau, P. J."" "
"""  Gent: Poel, bouwaanvraag van van Hoorebeke, 1786""  ";" "" Bouwheer: van Hoorebeke."" "
"""  Gent: Poel, bouwaanvraag van Joan Bruynswyck, 1788""  ";" "" Bouwheer: Bruynswyck, Joan. Beschrijving van de werken: ontwerptekening poort."" "
"""  Gent: Poel, bouwaanvraag van Bernard Charles Judocus Ondereet, 1778""  ";" "" Bouwheer: Ondereet, Bernard Charles Judocus."" "
"""  Gent: Poel: hotel de Nockere, bouwaanvraag van Jan Baptiste de Ghellinck, 1778""  ";" "" Bouwheer: de Ghellinck, Jan Baptiste."" "
"""  Gent: Poel, bouwaanvraag van Jan Baptiste de Blocq, 1784""  ";" "" Bouwheer: de Blocq , Jan Baptiste."" "
"""  Gent: Poel, bouwaanvraag van Anthonius Vanderveken, 1765""  ";" "" Bouwheer: Vanderveken, Anthonius."" "
"""  Gent: Poel, bouwaanvraag van Jan Baptiste de Ghellinck, 1777""  ";" "" Bouwheer: de Ghellinck , Jan Baptiste."" "
"""  Gent: Poel, bouwaanvraag van Livinus de Smet, 1758""  ";" "" Bouwheer: de Smet, Livinus."" "
"""  Gent: Poel, bouwaanvraag van Jan Baptiste Suply 1764""  ";" "" Bouwheer: Suply, Jan Baptiste."" "
"""  Gent: Poel, bouwaanvraag van Norbert Ignace van Hulthem, 1757""  ";" "" Bouwheer: van Hulthem, Norbert Ignace."" "
"""  Gent: Poel, bouwaanvraag van graaf Philippe Emanuel Gage, 1757""  ";" "" Bouwheer: Gage, Philippe Emanuel, graaf."" "
"""  Gent: Poel, bouwaanvraag van Joannes Eghels, 1754""  ";" "" Bouwheer: Eghels, Joannes."" "
"""  Gent: Poel, bouwaanvraag van van Houcke, 1754""  ";" "" Bouwheer: van Houcke."" "
"""  Gent: Poel, bouwaanvraag van Jaecques de Grave, 1730""  ";" "" Bouwheer: de Grave, Jaecques."" "
"""  Gent: Poel, bouwaanvraag van Francois Poelman, 1740""  ";" "" Bouwheer: Poelman, Francois."" "
"""  Gent: Poel, bouwaanvraag van baron van Hieseghem, 1716""  ";" "" Bouwheer: van Hieseghem, baron."" "
"""  Gent: Poel, bouwaanvraag van Niclais Leblon, 1717""  ";" "" Bouwheer: Leblon, Niclais."" "
"""  Gent: Poel, bouwaanvraag van baron van Hieseghem, 1717""  ";" "" Bouwheer: van Hieseghem, baron."" "
"""  Gent: Plotersgracht, bouwaanvraag van Pieter Cauwerijck, 1789""  ";" "" Bouwheer: Cauwerijck, Pieter."" "
"""  Gent: Poel, bouwaanvraag van graaf van Wacken, 1705""  ";" "" Bouwheer: van Wacken, graaf. De ontwerptekening is verdwenen."" "
"""  Gent: Plotersgracht, bouwaanvraag van Laurentius vander Straeten, 1787""  ";" "" Bouwheer: vander Straeten, Laurentius."" "
"""  Gent: Plotersgracht, bouwaanvraag van Frans Jacques Dhooghe, 1789""  ";" "" Bouwheer: Dhooghe, Frans Jacques."" "
"""  Gent: Plotersgracht, bouwaanvraag van Joannes de Laruelle, 1785""  ";" "" Bouwheer: de Laruelle, Joannes."" "
"""  Gent: Plotersgracht, bouwaanvraag van Albertus Lavaut en Guillielmus Duvivier, 1787""  ";" "" Bouwheer: Lavaut, Albertus, Duvivier, Guillielmus."""
"""  Gent: Plotersgracht, bouwaanvraag van Guillaume Dhooghe, 1771""  ";" "" Bouwheer: Dhooghe, Guillaume."" "
"""  Gent: Plotersgracht, bouwaanvraag van Jan Baptiste Donche, 1776""  ";" "" Bouwheer: Donche, Jan Baptiste."" "
"""  Gent: Plotersgracht, bouwaanvraag van Joannes Goetgebuer, 1778""  ";" "" Bouwheer: Goetgebuer, Joannes."" "
"""  Gent: Plotersgracht, bouwaanvraag van Jan Leduyck en Livina Flavia van Acker, 1725""  ";" "" Bouwheer: Leduyck, Jan  van Acker, Livina Flavia."""
"""  Gent: Plotersgracht, bouwaanvraag van Pieter van Loo, 1757""  ";" "" Bouwheer: van Loo, Pieter."" "
"""  Gent: Plotersgracht, bouwaanvraag van Pieter Steyaert, 1716""  ";" "" Bouwheer: Steyaert, Pieter."" "
"""  Gent: Plotersgracht, bouwaanvraag van Judocus Heyse, 1721""  ";" "" Bouwheer: Heyse, Judocus."" "
"""  Gent: Plattesteegher (loskaai aan het Meerhem), bouwaanvraag van A.F. Bijnvaen, 1786""  ";" "" Bouwheer: Bijnvaen, A.F."" "
"""  Gent: Plotersgracht, bouwaanvraag van Pieter Fraeys, 1700""  ";" "" Bouwheer: Fraeys, Pieter."" "
"""  Gent: Plotersgracht, bouwaanvraag van Philips Gansman, 1706""  ";" "" Bouwheer: Gansman, Philips."" "
"""  Gent: Plattesteegher (loskaai aan het Meerhem), bouwaanvraag van Geeraert Waegerman, 1785""  ";" "" Bouwheer: Waegerman, Geeraert."" "
"""  Gent: Plattesteegher (loskaai aan het Meerhem), bouwaanvraag van Carolus Penneman de Boschleyde, 1785""  ";" "" Bouwheer: Penneman de Boschheyde, Carolus."" "
"""  Gent: Plattesteegher (loskaai aan het Meerhem), bouwaanvraag van Judocus van Melle, 1781""  ";" "" Bouwheer: van Melle, Judocus."" "
"""  Gent: Plattesteegher (loskaai aan het Meerhem), bouwaanvraag van Philippe Tielman, 1781""  ";" "" Bouwheer: Tielman, Philippe."" "
"""  Gent: Plattesteegher (loskaai aan het Meerhem), bouwaanvraag van weduwe Terneus, 1782""  ";" "" Bouwheer: Terneus, weduwe."" "
"""  Gent: Plattesteegher (loskaai aan het Meerhem), bouwaanvraag van Joseph Florus Mussche, 1766""  ";" "" Bouwheer: Mussche, Joseph Florus."" "
"""  Gent: Plattesteegher (loskaai aan het Meerhem), bouwaanvraag van Nicolaes Foconier, 1778""  ";" "" Bouwheer: Foconier, Nicolaes."" "
"""  Gent: Plattesteegher (loskaai aan het Meerhem), bouwaanvraag van Dominicus Joos, 1707""  ";" "" Bouwheer: Joos, Dominicus."" "
"""  Gent: Plattesteegher (loskaai aan het Meerhem), bouwaanvraag van de Sint-Antoniusgilde, 1753""  ";" "" Bouwheer: Sint-Antoniusgilde."" "
"""  Gent: Platteberg, bouwaanvraag van Philippe Kints, 1751""  ";" "" Bouwheer: Kints, Philippe."" "
"""  Gent: Platteberg, bouwaanvraag van Jan de Waele, 1771""  ";" "" Bouwheer: de Waele, Jan."" "
"""  Gent: Plattesteegher (loskaai aan het Meerhem), bouwaanvraag van Pieter van Damme, 1698""  ";" "" Bouwheer: van Damme, Pieter."" "
"""  Gent: Pieter De Keyserestraat, bouwaanvraag van Carel Dhooghe, 1794""  ";" "" Bouwheer: Dhooghe, Carel."" "
"""  Gent: Platteberg, bouwaanvraag van Jan de Baets, 1714""  ";" "" Bouwheer: de Baets, Jan."" "
"""  Gent: Perkamentstraat, bouwaanvraag van Pieters en de Mol, zonder datum""  ";" "" Bouwheer: de Mol Pieters. Beschrijving van de werken: Te dateren in de 18de eeuw."""
"""  Gent: Pieter De Keyserestraat, bouwaanvraag van Pieter Livinus Tuytschaever, 1788""  ";" "" Bouwheer: Tuytschaever, Pieter Livinus."" "
"""  Gent: Peperstraat, bouwaanvraag van weduwe Stevens Ghesquiere, 1789""  ";" "" Bouwheer: Stevens Ghesquiere, weduwe."" "
"""  Gent: Peperstraat, bouwaanvraag van Martinus Monteyne, 1794""  ";" "" Bouwheer: Monteyne, Martinus."" "
"""  Gent: Peperstraat, bouwaanvraag van Jan Frans de Kersmaker, 1782""  ";" "" Bouwheer: de Kersmaker, Jan Frans."" "
"""  Gent: Peperstraat, bouwaanvraag van Jacques van Belle, 1787""  ";" "" Bouwheer: van Belle, Jacques."" "
"""  Gent: Peperstraat, bouwaanvraag van vander Schueren, 1789""  ";" "" Bouwheer: vander Schueren."" "
"""  Gent: Peperstraat, bouwaanvraag van Catharina Dello, 1781""  ";" "" Bouwheer: Dello, Catharina."" "
"""  Gent: Peperstraat, bouwaanvraag van Benoit Emanuel Cardon, 1781""  ";" "" Bouwheer: Cardon, Benoit Emanuel."" "
"""  Gent: Peperstraat, bouwaanvraag van Philippe van Damme, 1776""  ";" "" Bouwheer: van Damme, Philippe."" "
"""  Gent: Peperstraat, bouwaanvraag van Frans Dominicus Cocquyt, 1777""  ";" "" Bouwheer: Cocquyt, Frans Dominicus."" "
"""  Gent: Peperstraat, bouwaanvraag van Andries Verhaege, 1779""  ";" "" Bouwheer: Verhaege, Andries."" "
"""  Gent: Peperstraat, bouwaanvraag van Joannes Vonck, 1763""  ";" "" Bouwheer: Vonck, Joannes."" "
"""  Gent: Peperstraat, bouwaanvraag van Joseph van Damme, 1767""  ";" "" Bouwheer: van Damme, Joseph."" "
"""  Gent: Peperstraat, bouwaanvraag van Maximiliaen van Damme, 1755""  ";" "" Bouwheer: van Damme, Maximiliaen."" "
"""  Gent: Peperstraat, bouwaanvraag van Bonne, 1755""  ";" "" Bouwheer: Bonne."" "
"""  Gent: Peperstraat, bouwaanvraag van Francies Garsie, 1755""  ";" "" Bouwheer: Garsie, Francies."" "
"""  Gent: Peperstraat, bouwaanvraag van Pieter Cardon, 1749""  ";" "" Bouwheer: Cardon, Pieter."" "
"""  Gent: Peperstraat, bouwaanvraag van Maximiliaen van Damme, 1749""  ";" "" Bouwheer: van Damme, Maximiliaen."" "
"""  Gent: Peperstraat, bouwaanvraag van Josephus Veranneman, 1740""  ";" "" Bouwheer: Veranneman, Josephus."" "
"""  Gent: Peperstraat, bouwaanvraag van Cardon, 1741""  ";" "" Bouwheer: Cardon."" "
"""  Gent: Peperstraat, bouwaanvraag van Francies Hertschap, 1745""  ";" "" Bouwheer: Hertschap, Francies."" "
"""  Gent: Pensmarkt, bouwaanvraag van Jacques de Maeght, 1744""  ";" "" Bouwheer: de Maeght, Jacques."" "
"""  Gent: Peperstraat, bouwaanvraag van Louys Billemont, 1705""  ";" "" Bouwheer: Billemont, Louys."" "
"""  Gent: Pekelharing, bouwaanvraag van Willem Mitchell, 1793""  ";" "" Bouwheer: Mitchell, Willem."" "
"""  Gent: Pekelharing, bouwaanvraag van Cornelis Roothaese, 1793""  ";" "" Bouwheer: Roothaese, Cornelis."" "
"""  Gent: Pekelharing, bouwaanvraag van Judocus Neyt, 1779""  ";" "" Bouwheer: Neyt, Judocus."" "
"""  Gent: Pekelharing, bouwaanvraag van 1789""  ";" "" Bouwheer: Pieters, Laureyns."" "
"""  Gent: Pekelharing, bouwaanvraag van weduwe Christoffel van Loo, 1771""  ";" "" Bouwheer: van Loo, Christoffel weduwe."" "
"""  Gent: Pekelharing, bouwaanvraag van Roothaese, 1772""  ";" "" Bouwheer: Roothaese."" "
"""  Gent: Pekelharing, bouwaanvraag van Hendrick Bertrand, 1772""  ";" "" Bouwheer: Bertrand, Hendrick."" "
"""  Gent: Patershol, bouwaanvraag van Adriaen de Stobbeleere 1777""  ";" "" Bouwheer: de Stobbeleere, Adriaen."" "
"""  Gent: Achter de Pekelharing, bouwaanvraag van weduwe Anthone van Crombrugghe en Brekelmans Lambert, 1710""  ";" "" Bouwheer: van Crombrugghe, Anthone weduwe en Lambert, Brekelmans"" "
"""  Gent: Papegaaistraat, bouwaanvraag van Barth 1790""  ";" "" Bouwheer: Barth."" "
"""  Gent: Pasbrug, bouwaanvraag van Gillis Heyndrickx, 1727""  ";" "" Bouwheer: Heyndrickx, Gillis."" "
"""  Gent: Pasbrug, bouwaanvraag van Jan de Waele, 1728""  ";" "" Bouwheer: de Waele, Jan."" "
"""  Gent: Papegaaistraat, bouwaanvraag van Jan van Belle, 1699""  ";" "" Bouwheer: van Belle, Jan."" "
"""  Gent: Papegaaistraat, bouwaanvraag van Claude Lereboulet, 1755""  ";" "" Bouwheer: Lereboulet, Claude."" "
"""  Gent: Pakhuisstraat, bouwaanvraag van Frans Baston, 1784""  ";" "" Bouwheer: Baston, Frans."" "
"""  Gent: Pakhuisstraat, bouwaanvraag van Pieter Colpaert, 1789""  ";" "" Bouwheer: Colpaert, Pieter."" "
"""  Gent: Pakhuisstraat, bouwaanvraag van Geeraert Rogiers, 1744""  ";" "" Bouwheer: Rogiers, Geeraert."" "
"""  Gent: Pakhuisstraat, bouwaanvraag van Dhaese, 1754""  ";" "" Bouwheer: Dhaese."" "
"""  Gent: Pakhuisstraat, bouwaanvraag van Pieter de Smet, 1756""  ";" "" Bouwheer: de Smet, Pieter."" "
"""  Gent: Paddenhoek, bouwaanvraag van Joan Huytens, 1774""  ";" "" Bouwheer: Huytens, Joan."" "
"""  Gent: Paddenhoek, bouwaanvraag van Dionisius Jacobus Papeleu, 1791""  ";" "" Bouwheer: Papeleu, Dionisius Jacobus."" "
"""  Gent: Paddenhoek, bouwaanvraag van Egidius Franciscus van Risseghem, 1742""  ";" "" Bouwheer: van Risseghem, Egidius Franciscus."" "
"""  Gent: Paddenhoek, bouwaanvraag van Judocus Sunaert en Dionisius Jacobus Papeleu, 1753""  ";" "" Bouwheer: Sunaert, Judocus Papeleu, Dionisius Jacobus."""
"""  Gent: Paddegat (nu Krommewal), bouwaanvraag van Henricus van de Waele, 1784""  ";" "" Bouwheer: van de Waele, Henricus."" "
"""  Gent: Paddenhoek, bouwaanvraag van Jan Baptiste Joseph Ameye, 1739""  ";" "" Bouwheer: Ameye, Jan Baptiste Joseph."" "
"""  Gent: Paddenhoek, bouwaanvraag van Judocus Sunaert, 1741""  ";" "" Bouwheer: Sunaert, Judocus."" "
"""  Gent: Overschelde, bouwaanvraag van Hilgerus Hendricks, 1794""  ";" "" Bouwheer: Hendricks, Hilgerus."" "
"""  Gent: Overschelde, bouwaanvraag van Hilgerus Hendricks, 1794""  ";" "" Bouwheer: Hendricks, Hilgerus."" "
"""  Gent: Overschelde, bouwaanvraag van Pieter Castier, 1787""  ";" "" Bouwheer: Castien, Pieter."" "
"""  Gent: Overschelde, bouwaanvraag van Pieter du Bois, 1787""  ";" "" Bouwheer: du Bois, Pieter."" "
"""  Gent: Overschelde, bouwaanvraag van Verburght, 1784""  ";" "" Bouwheer: Verburght."" "
"""  Gent: Overschelde, bouwaanvraag van Ambroius van Hoecke, 1785""  ";" "" Bouwheer: van Hoecke, Ambrosius."" "
"""  Gent: Overschelde, bouwaanvraag van Joseph Bouvry, 1777""  ";" "" Bouwheer: Bouvry, Joseph."" "
"""  Gent: Overschelde, bouwaanvraag van Joannes Pletsier, 1778""  ";" "" Bouwheer: Pletsier, Joannes."" "
"""  Gent: Overschelde, bouwaanvraag van Joannes Baptiste Kesteloot, 1782""  ";" "" Bouwheer: Kesteloot, Joannes Baptiste."" "
"""  Gent: Overschelde, bouwaanvraag van Guillaume Poelman, 1773""  ";" "" Bouwheer: Poelman, Guillaume."" "
"""  Gent: Overschelde, bouwaanvraag van bouwaanvraag van Judocus Fermont, 1774""  ";" "" Bouwheer: Fermont, Judocus."" "
"""  Gent: Overschelde, bouwaanvraag van Jan de Raeve, 1771""  ";" "" Bouwheer: de Raeve, Jan."" "
"""  Gent: Overschelde, bouwaanvraag van Pieter Dufour, 1772""  ";" "" Bouwheer: Dufour, Pieter."" "
"""  Gent: Overschelde, bouwaanvraag van weduwe Heye, 1773""  ";" "" Bouwheer: Heye, weduwe."" "
"""  Gent: Overschelde, bouwaanvraag van Jacobus Cortens, 1751""  ";" "" Bouwheer: Cortens, Jacobus."" "
"""  Gent: Overschelde, bouwaanvraag van Livinus Francois Ongeval, 1771""  ";" "" Bouwheer: Ongeval, Livinus Francois."" "
"""  Gent: Overschelde, bouwaanvraag van Cornelis Daesschoot, 1721""  ";" "" Bouwheer: Daesschoot, Cornelis."" "
"""  Gent: Overschelde, bouwaanvraag van Cornelis Verburght, 1745""  ";" "" Bouwheer: Verburght, Cornelis."" "
"""  Gent: Overschelde, bouwaanvraag van Jan Grenier, 1746""  ";" "" Bouwheer: Grenier, Jan."" "
"""  Gent: Overschelde, bouwaanvraag van Joost vander Biest, 1718""  ";" "" Bouwheer: vander Biest, Joost."" "
"""  Gent: Overschelde, bouwaanvraag van Pieter de Laetere, 1718""  ";" "" Bouwheer: de Laetere, Pieter."" "
"""  Gent: Minnemeers, bouwaanvraag van Pieter van Beveren, 1787""  ";" "" Bouwheer: van Beveren, Pieter."" "
"""  Gent: Overschelde, bouwaanvraag van Frans vander Straeten, 1705""  ";" "" Bouwheer: vander Straeten, Frans."" "
"""  Gent: Oudevest, bouwaanvraag van van Laere, 1782""  ";" "" Bouwheer: van Laere."" "
"""  Gent: Oudevest, bouwaanvraag van Frans Moeraert, 1785""  ";" "" Bouwheer: Moeraert, Frans."" "
"""  Gent: Oudevest, bouwaanvraag van Joannes de Pannemaecker, 1786""  ";" "" Bouwheer: de Pannemaecker, Joannes."" "
"""  Gent: Oudevest, bouwaanvraag van Joannes Duprez, 1777""  ";" "" Bouwheer: Duprez, Joannes."" "
"""  Gent: Oudevest, bouwaanvraag van Francies Montyne, 1778""  ";" "" Bouwheer: Montyne, Francies."" "
"""  Gent: Oudevest, bouwaanvraag van weduwe Moerman, 1765""  ";" "" Bouwheer: Moerman, weduwe."" "
"""  Gent: Oudevest, bouwaanvraag van Reynier Roelant, 1767""  ";" "" Bouwheer: Roelant, Reynier."" "
"""  Gent: Goudstraat, bouwaanvraag van Joannes van Overwaele, 1773""  ";" "" Bouwheer: van Overwaele, Joannes."" "
"""  Gent: Oudevest, bouwaanvraag van Joannes de Roose, 1759""  ";" "" Bouwheer: de Roose, Joannes."" "
"""  Gent: Oudevest, bouwaanvraag van Potters, N. Roelant, N. Elslandt, de Wulf, Overwale, Wittock, Tocht, weduwe Moerman, weduwe Christoffel an Loo en vanden Bossche, 1761""  ";" "" Bouwheer: Potters"""
"""  Gent: Oudevest, bouwaanvraag van Steven de Muynck, 1704""  ";" "" Bouwheer: de Muynck, Steven."" "
"""  Gent: Oudevest, bouwaanvraag van Jan van Houcke, 1717""  ";" "" Bouwheer: van Houcke, Jan."" "
"""  Gent: Oudevest, bouwaanvraag van Pieter van Overwaele, 1753""  ";" "" Bouwheer: van Overwaele, Pieter."" "
"""  Gent: Oude Houtlei, bouwaanvraag van Pieter de Wever, 1788""  ";" "" Bouwheer: de Wever, Pieter."" "
"""  Gent: Oude Houtlei, bouwaanvraag van Jan Francies Dael, 1794""  ";" "" Bouwheer: Dael, Jan Francies."" "
"""  Gent: Oude Houtlei, bouwaanvraag van Frans van Overbeke, 1784""  ";" "" Bouwheer: van Overbeke, Frans."" "
"""  Gent: Oude Houtlei, bouwaanvraag van Joseph Bernard van Saceghem, 1786""  ";" "" Bouwheer: van Saceghem, Joseph Bernard."" "
"""  Gent: Oude Houtlei, bouwaanvraag van het begijnhof van Poortakker, 1780""  ";" "" Bouwheer: begijnhof van Poortakker."" "
